Frame,DensityPercentage
498,2.83,2025-07-22 17:30:42,100
499,2.83,2025-07-22 17:30:42,100
500,2.82,2025-07-22 17:30:42,101
501,2.81,2025-07-22 17:30:42,101
502,2.81,2025-07-22 17:30:42,101
503,2.82,2025-07-22 17:30:47,101
504,2.83,2025-07-22 17:30:47,101
505,2.82,2025-07-22 17:30:47,102
506,2.82,2025-07-22 17:30:47,102
507,2.83,2025-07-22 17:30:47,102
508,2.84,2025-07-22 17:30:53,102
509,2.84,2025-07-22 17:30:53,102
510,2.84,2025-07-22 17:30:53,103
511,2.86,2025-07-22 17:30:53,103
512,2.86,2025-07-22 17:30:53,103
513,2.86,2025-07-22 17:30:58,103
514,2.86,2025-07-22 17:30:58,103
515,2.87,2025-07-22 17:30:58,104
516,2.87,2025-07-22 17:30:58,104
517,2.87,2025-07-22 17:30:58,104
518,2.56,2025-07-22 17:31:03,104
519,2.55,2025-07-22 17:31:03,104
520,2.86,2025-07-22 17:31:03,105
521,2.87,2025-07-22 17:31:03,105
522,2.88,2025-07-22 17:31:03,105
523,2.86,2025-07-22 17:31:10,105
524,2.91,2025-07-22 17:31:10,105
525,2.82,2025-07-22 17:31:10,106
526,2.81,2025-07-22 17:31:10,106
527,2.82,2025-07-22 17:31:10,106
528,2.82,2025-07-22 17:31:15,106
529,2.83,2025-07-22 17:31:15,106
530,2.83,2025-07-22 17:31:15,107
531,2.92,2025-07-22 17:31:15,107
532,2.89,2025-07-22 17:31:15,107
533,2.75,2025-07-22 17:31:18,107
534,2.62,2025-07-22 17:31:18,107
535,2.41,2025-07-22 17:31:18,108
536,2.85,2025-07-22 17:31:18,108
537,3.13,2025-07-22 17:31:18,108
538,2.75,2025-07-22 17:31:23,108
539,2.45,2025-07-22 17:31:23,108
540,2.41,2025-07-22 17:31:23,109
541,2.43,2025-07-22 17:31:23,109
542,2.38,2025-07-22 17:31:23,109
543,2.46,2025-07-22 17:31:30,109
544,2.51,2025-07-22 17:31:30,109
545,2.59,2025-07-22 17:31:30,110
546,2.57,2025-07-22 17:31:30,110
547,2.55,2025-07-22 17:31:30,110
548,2.59,2025-07-22 17:31:35,110
549,2.53,2025-07-22 17:31:35,110
550,2.47,2025-07-22 17:31:35,111
551,2.44,2025-07-22 17:31:35,111
552,2.42,2025-07-22 17:31:35,111
553,2.42,2025-07-22 17:31:43,111
554,2.42,2025-07-22 17:31:43,111
555,2.41,2025-07-22 17:31:43,112
556,2.42,2025-07-22 17:31:43,112
557,2.43,2025-07-22 17:31:43,112
558,2.43,2025-07-22 17:31:45,112
559,2.42,2025-07-22 17:31:45,112
560,2.44,2025-07-22 17:31:45,113
561,2.54,2025-07-22 17:31:45,113
562,2.47,2025-07-22 17:31:45,113
563,2.44,2025-07-22 17:31:50,113
564,2.47,2025-07-22 17:31:50,113
565,2.47,2025-07-22 17:31:50,114
566,2.47,2025-07-22 17:31:50,114
567,2.48,2025-07-22 17:31:50,114
568,2.48,2025-07-22 17:31:55,114
569,2.48,2025-07-22 17:31:55,114
570,2.49,2025-07-22 17:31:55,115
571,2.5,2025-07-22 17:31:55,115
572,2.49,2025-07-22 17:31:55,115
573,2.2,2025-07-22 17:32:01,115
574,2.54,2025-07-22 17:32:01,115
575,2.52,2025-07-22 17:32:01,116
576,2.54,2025-07-22 17:32:01,116
577,2.54,2025-07-22 17:32:01,116
578,2.56,2025-07-22 17:32:06,116
579,2.53,2025-07-22 17:32:06,116
580,2.61,2025-07-22 17:32:06,117
581,2.62,2025-07-22 17:32:06,117
582,2.58,2025-07-22 17:32:06,117
583,2.58,2025-07-22 17:32:13,117
584,2.61,2025-07-22 17:32:13,117
585,2.62,2025-07-22 17:32:13,118
586,2.59,2025-07-22 17:32:13,118
587,2.58,2025-07-22 17:32:13,118
588,2.59,2025-07-22 17:32:17,118
589,2.61,2025-07-22 17:32:17,118
590,2.65,2025-07-22 17:32:17,119
591,2.65,2025-07-22 17:32:17,119
592,2.65,2025-07-22 17:32:17,119
593,2.66,2025-07-22 17:32:22,119
594,2.67,2025-07-22 17:32:22,119
595,2.69,2025-07-22 17:32:22,120
596,2.68,2025-07-22 17:32:22,120
597,2.7,2025-07-22 17:32:22,120
598,2.71,2025-07-22 17:32:27,120
599,2.82,2025-07-22 17:32:27,120
600,2.58,2025-07-22 17:32:27,121
601,2.68,2025-07-22 17:32:27,121
602,2.68,2025-07-22 17:32:27,121
603,2.69,2025-07-22 17:32:33,121
604,2.71,2025-07-22 17:32:33,121
605,2.71,2025-07-22 17:32:33,122
606,2.73,2025-07-22 17:32:33,122
607,2.74,2025-07-22 17:32:33,122
608,2.79,2025-07-22 17:32:38,122
609,2.78,2025-07-22 17:32:38,122
610,3.24,2025-07-22 17:32:38,123
611,3.56,2025-07-22 17:32:38,123
612,3.1,2025-07-22 17:32:38,123
613,2.94,2025-07-22 17:32:44,123
614,2.73,2025-07-22 17:32:44,123
615,2.71,2025-07-22 17:32:44,124
616,2.73,2025-07-22 17:32:44,124
617,2.73,2025-07-22 17:32:44,124
618,2.74,2025-07-22 17:32:50,124
619,2.76,2025-07-22 17:32:50,124
620,2.76,2025-07-22 17:32:50,125
621,2.76,2025-07-22 17:32:50,125
622,2.79,2025-07-22 17:32:50,125
623,2.79,2025-07-22 17:32:55,125
624,2.79,2025-07-22 17:32:55,125
625,2.81,2025-07-22 17:32:55,126
