scenario_code,time_s,link_id,travel_time,speed,volume,queue_delay,veh_delay,stops,occupancy,queue_length,max_queue_length,event_active,event_exposure,event_intensity,lanes_blocked,tt_missing_flag,speed_missing_flag,volume_missing_flag,event_link,,,,
SC0012,2400-2700,L3,122.15,36.31,15,757.51,93.66,1.33,0.0157,446.64,461.41,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L6,788.72,21.9,38,1299.29,758.03,14.62,0.5129,159.02,294.19,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L13,21.25,51.61,34,795.21,1.07,0,0.0243,405.5,421.58,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L16,57.02,30.48,33,967.78,21.11,0.15,0.0692,1.85,19.49,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L17,32.87,22.24,7,804.15,0.07,0,0.1681,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L18,28.28,45.15,61,845.22,2.75,0,0.0579,399.88,418.95,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L1,16.72,62.99,1,1059.5,0,0,0.0004,397.43,504.34,0,1,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L3,,,0,,,,0,493.64,503.53,0,0.368,0.075,0,1,1,1,L1,,,,
SC0012,2700-3000,L6,719.53,29.37,50,1418.94,689.32,13.45,0.0927,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L13,19.53,54.08,24,936.25,0.44,0,0.0144,11.45,372.88,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L16,36.89,32.66,19,1324.81,4.11,0,0.2485,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L17,23.45,56.05,6,1264.82,0.01,0,0.0039,399.63,421.63,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,2700-3000,L18,27.22,46.12,27,937.57,0.91,0,0.0229,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L1,,,0,,,,0,238.19,282.79,0,1,0.075,0,1,1,1,L1,,,,
SC0012,3000-3300,L3,36.35,40.49,7,631.31,8.53,0,0.0055,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L6,721.65,17.85,34,1626.82,690.08,13.31,1,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L13,18.05,58.27,30,1017.96,0.23,0,0.02,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L16,74.33,25.27,38,1205.58,37.75,0.35,0.3305,396.9,418.96,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L17,26.62,49.96,1,1549,0,0,0.0005,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,3000-3300,L18,23.91,41.85,39,1048.48,1.05,0,0.0449,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L1,15.73,70.57,1,1877.2,0.61,0,0.0004,291.8,437.05,0,1,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L3,35.14,29.23,3,433.95,6.98,0,0.0042,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L6,830.53,20.34,32,1996.52,800.06,12.81,0.9329,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L13,19.57,53.42,35,1044.06,0.91,0,0.0264,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L16,70.36,25.78,29,1558.66,33.51,0.3,0.3255,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L17,25.86,27.42,3,1241,0.1,0,0.0061,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,3300-3600,L18,23.99,39.82,50,1077.74,3.34,0,0.0597,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0013,600-900,L1,48.32,39.6,120,1.21,30.05,0.66,0.1103,0,14.92,1,1,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L3,43.11,34.29,20,46.57,13.21,0.29,0.0232,0,0,1,0.368,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L6,32.08,20.2,9,36.87,3.72,0.09,0.2128,0.44,21.09,1,0.223,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L13,21.47,66.26,128,1.02,6.47,0.29,0.0655,0,0,1,0.223,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L16,49.16,33.71,32,9.88,15.41,0.42,0.4739,0.79,21.48,1,0.607,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L17,43.16,39.94,75,30.65,21.05,0.4,0.1351,0,0,1,0.135,0.15,0,0,0,0,L1,,,,
SC0013,600-900,L18,22.19,59.52,37,36.55,0.98,0,0.0221,0,0,1,0.607,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L1,136.38,43.08,134,4.22,117.82,1.69,0.2532,0,0,1,1,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L3,106.68,36.98,39,144.52,77.15,1,0.5584,0,0,1,0.368,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L6,169.36,6.02,11,233.76,140.49,2.91,0.5683,0,0,1,0.223,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L13,38.84,58.92,175,22.87,23.17,0.92,0.1037,0,0,1,0.223,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L16,102.45,26.96,40,162.8,67.31,1.02,0.818,34.06,133.69,1,0.607,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L17,113.6,30.96,111,106,90.01,1.49,0.7111,0,0,1,0.135,0.15,0,0,0,0,L1,,,,
SC0013,900-1200,L18,24.17,53.74,65,139.86,1.32,0,0.046,0,0,1,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L1,286.79,25.76,77,53.71,269.49,3.98,0.5938,0,0,0,1,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L3,153.3,35.5,37,307.8,123.81,1.5,0.666,0,0,0,0.368,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L6,423.2,7.61,12,495.43,394.63,8.58,0.9816,259.38,403.43,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L13,92.51,39.67,169,68.99,76.81,4.07,0.3352,0,0,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L16,219.13,23.92,44,345.58,180.68,2.48,0.2377,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L17,189.96,35.95,130,187.75,166.17,2.88,0.7718,247.65,371.44,0,0.135,0.15,0,0,0,0,L1,,,,
SC0013,1200-1500,L18,23.45,41.3,67,314.22,3.77,0,0.069,130.43,233.09,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L1,314.91,30.01,101,224.83,296.35,4.67,0.5109,0,0,0,1,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L3,274.88,36.6,39,486.48,246.13,2.94,0.0497,118.68,214.22,0,0.368,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L6,719.09,10.57,20,854.13,692.43,11.85,0.9203,453.61,463.59,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L13,151.58,29.68,64,287.17,134.88,6.86,0.1511,451.15,512.13,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L16,324.97,23.26,51,560.86,286.27,3.9,0.1165,364.15,369.33,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L17,191.17,32.48,127,245.35,167.42,3.61,0.479,111.29,256.02,0,0.135,0.15,0,0,0,0,L1,,,,
SC0013,1500-1800,L18,21.5,43.18,67,475.52,4.98,0,0.0793,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L1,323.07,26.29,28,332.77,305.33,4.17,0.2194,0,0,0,1,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L3,396.99,35.08,40,620.31,368.24,9.38,0.5209,0,0,0,0.368,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L6,728.54,26,41,988.11,699.41,13.12,0.682,483.74,490.82,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L13,23.02,48.32,57,570.79,2.49,0.04,0.0564,1.91,17.66,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L16,415.3,22.09,50,739.33,373.16,5.98,0.4815,17.01,133.55,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L17,172.71,33.92,99,365.93,150.03,2.86,0.4332,0,0,0,0.135,0.15,0,0,0,0,L1,,,,
SC0013,1800-2100,L18,22.55,40.21,86,588.47,6.76,0,0.1199,33.67,100.58,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L1,348.27,,0,,331.09,6.31,0,246.14,254.91,0,1,0.15,0,0,1,1,L1,,,,
SC0013,2100-2400,L3,506.94,35.36,39,762.17,476.44,12.52,0.407,420.44,511.55,0,0.368,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L6,695.45,23.5,34,1093.92,665.25,12.82,1,56.34,119.02,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L13,21.56,49.07,30,755.98,0.63,0,0.0246,0,0,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L16,453.04,25.77,35,947.18,415.67,7.2,0.4396,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L17,37.64,24.9,5,817.7,0.02,0,0.0615,0,0,0,0.135,0.15,0,0,0,0,L1,,,,
SC0013,2100-2400,L18,22.6,43.61,55,757.22,4.17,0,0.0464,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L1,17.59,58.21,1,1422.75,0.07,0,0.0005,0,0,0,1,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L3,238.28,37.73,16,791.61,209.54,3.08,0.3767,445.99,461.4,0,0.368,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L6,881.87,24.42,35,1377.93,850.7,13.29,0.9927,204.26,343.43,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L13,22.59,49.25,28,969.86,2.11,0.11,0.0246,410.53,413.9,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L16,451.42,25.04,41,1077.72,411.46,5.56,0.7899,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L17,31.19,35.08,3,966.45,0,0,0.0038,0,0,0,0.135,0.15,0,0,0,0,L1,,,,
SC0013,2400-2700,L18,24.39,41.29,48,1013.27,4.67,0,0.0599,397.94,417.18,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2700-3000,L1,16.21,66.4,1,1274.3,0.57,0,0.0004,271.54,378.23,0,1,0.15,0,0,0,0,L1,,,,
SC0013,2700-3000,L3,,33.73,1,797.55,,,0.0007,442.15,503.66,0,0.368,0.15,0,1,0,0,L1,,,,
SC0013,2700-3000,L6,713.75,30.72,56,1453.64,684.08,14.04,1,0,0,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2700-3000,L13,19.95,52.36,45,1065.91,0.88,0,0.0309,0,0,0,0.223,0.15,0,0,0,0,L1,,,,
SC0013,2700-3000,L16,251.96,21.2,54,1262.23,217.2,5,0.4477,0,0,0,0.607,0.15,0,0,0,0,L1,,,,
SC0013,2700-3000,L17,24.06,35.1,7,1227.36,0.26,0,0.0113,400.91,421.64,0,0.135,0.15,0,0,0,0,L1,,,,
